Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Víctor Bernárdez,SJ ,D,26,25,2231,2,1,8,4,0,0/0,2,0,0.08,25,0,1,0,0.04,29,22,1,6,0,50,2014,reg
Mark Sherrod,HOU,F,9,3,223,2,1,9,2,0,0/0,2,0,0.81,22.2,1,1,0,0.4,5,1,3,1,0,22.22,2014,reg
Liam Ridgewell,POR,D,15,15,1350,2,1,10,4,0,0/0,1,1,0.13,20,1,0,1,0.07,16,14,2,3,0,40,2014,reg
Marky Delgado,TOR,M,20,12,1121,2,1,12,4,0,0/0,1,1,0.16,16.7,1,0,1,0.08,24,6,1,4,1,33.33,2014,reg
Lawrence Olum,KC ,D,25,21,1853,2,1,14,4,2,0/0,1,1,0.1,14.3,0,1,0,0.05,18,4,1,6,0,28.57,2014,reg
Drew Moor,COL,D,23,23,1994,2,1,15,7,0,0/0,1,1,0.09,13.3,0,0,1,0.05,16,19,2,2,0,46.67,2014,reg
Sanna Nyassi,CHI,M,14,10,739,2,1,18,7,0,0/0,0,2,0.24,11.1,0,1,0,0.12,23,22,6,2,0,38.89,2014,reg
Leo Fernandes,PHI,M,13,7,697,2,1,20,7,0,0/0,0,2,0.26,10,1,1,0,0.13,8,15,4,0,0,35,2014,reg
A.J. Soares,NE ,D,32,32,2806,2,1,21,4,0,0/0,1,1,0.06,9.5,0,1,0,0.03,44,30,1,5,1,19.05,2014,reg
Boniek Garcia,HOU,M,27,26,2206,2,1,25,9,0,0/1,2,0,0.08,8,1,0,1,0.04,39,58,3,4,0,36,2014,reg
Edson Buddle,COL,F,18,12,1116,2,1,33,9,1,0/0,1,1,0.16,6.1,1,1,0,0.08,24,13,3,1,0,27.27,2014,reg
Maxim Tissot,MTL,D,20,7,762,2,0,10,4,0,0/0,1,1,0.24,20,0,0,0,0,7,13,4,2,0,40,2014,reg
Pedro Ribeiro,PHI,M-F,9,3,351,2,0,11,3,1,0/0,2,0,0.51,18.2,0,0,0,0,6,5,2,0,0,27.27,2014,reg
Marvin Chávez,CHV,M,16,8,742,2,0,11,3,1,0/0,0,2,0.24,18.2,0,0,0,0,18,17,6,2,1,27.27,2014,reg
Nicolas Mezquida,COL,F-M,14,4,418,2,0,11,5,0,0/0,0,2,0.43,18.2,0,0,0,0,11,6,1,0,0,45.45,2014,reg
Claudio Bieler,KC ,F,13,4,421,2,0,12,3,0,0/0,1,1,0.43,16.7,0,0,0,0,9,7,4,1,0,25,2014,reg
Kendall Waston,CIN,D,10,9,821,2,0,12,2,1,0/0,2,0,0.22,16.7,0,0,0,0,18,9,0,5,0,16.67,2014,reg
Adam Bedell,CLB,F,16,7,632,2,0,14,10,0,0/0,1,1,0.28,14.3,0,0,0,0,12,5,6,0,0,71.43,2014,reg
CJ Sapong,CHI,F,20,7,811,2,0,14,5,0,0/0,1,1,0.22,14.3,0,0,0,0,21,22,4,1,0,35.71,2014,reg
Issey Nakajima-Farran,MTL,M,18,7,775,2,0,17,5,0,0/0,0,2,0.23,11.8,0,0,0,0,13,15,4,1,1,29.41,2014,reg
Jordan Harvey,LAFC,D,33,33,2939,2,0,17,4,1,0/0,1,1,0.06,11.8,0,0,0,0,33,26,4,6,1,23.53,2014,reg
Kamani Hill,COL,F,15,11,866,2,0,17,7,1,0/0,2,0,0.21,11.8,0,0,0,0,17,16,1,2,0,41.18,2014,reg
Juan Luis Anangono,CHI,F,15,4,472,2,0,18,5,0,0/1,2,0,0.38,11.1,0,0,0,0,10,13,4,0,0,27.78,2014,reg
Davy Arnaud,DC ,M,31,30,2626,2,0,21,6,1,0/0,1,1,0.07,9.5,0,0,0,0,47,53,2,8,0,28.57,2014,reg
Aurelien Collin,PHI,D,26,25,2104,2,0,24,6,0,0/0,2,0,0.09,8.3,0,0,0,0,42,27,11,2,2,25,2014,reg
Sam Cronin,SJ ,M,31,30,2627,2,0,26,6,0,0/0,1,1,0.07,7.7,0,0,0,0,36,18,1,5,0,23.08,2014,reg
Shea Salinas,SJ,M,31,30,2470,1,8,26,9,0,0/0,1,0,0.04,3.8,2,5,3,0.29,31,30,4,3,1,34.62,2014,reg
Darlington Nagbe,CLB,M,32,30,2681,1,7,42,17,1,0/0,0,1,0.03,2.4,2,4,3,0.23,13,93,4,0,0,40.48,2014,reg
Chris Tierney,NE ,D-M,24,21,1930,1,5,21,9,1,0/1,0,1,0.05,4.8,2,3,2,0.23,11,9,0,4,0,42.86,2014,reg
Hector Jimenez,CLB,M,24,19,1694,1,5,23,6,0,0/0,1,0,0.05,4.3,1,1,4,0.27,17,14,5,2,0,26.09,2014,reg
Wil Trapp,MIA,M,28,28,2486,1,4,11,3,0,0/0,0,1,0.04,9.1,2,4,0,0.14,37,23,0,6,2,27.27,2014,reg
Sean Franklin,DC ,D,29,28,2532,1,4,16,3,0,0/0,1,0,0.04,6.3,2,2,2,0.14,19,15,5,0,0,18.75,2014,reg
Kevin Alston,NE ,D,11,9,683,1,3,3,2,1,0/0,1,0,0.13,33.3,1,1,2,0.4,10,7,1,1,1,66.67,2014,reg
Patrick Nyarko,CHI,F-M,17,9,846,1,3,10,5,1,0/0,0,1,0.11,10,0,0,3,0.32,11,27,2,3,1,50,2014,reg
Marc Burch,COL,D,22,21,1899,1,3,11,1,0,0/0,1,0,0.05,9.1,1,2,1,0.14,21,12,0,3,0,9.09,2014,reg
Calum Mallace,MTL,M,23,12,1122,1,3,13,3,0,0/0,0,1,0.08,7.7,0,1,2,0.24,18,7,0,3,0,23.08,2014,reg
Chad Marshall,SEA,D,31,31,2790,1,3,14,4,1,0/0,1,0,0.03,7.1,0,1,2,0.1,20,36,1,1,0,28.57,2014,reg
Bobby Boswell,DC ,D,34,34,3045,1,3,19,5,1,0/0,1,0,0.03,5.3,1,2,1,0.09,36,11,1,2,0,26.32,2014,reg
Ben Speas,CLB,M-F,13,8,704,1,3,20,3,0,0/0,1,0,0.13,5,0,2,1,0.38,1,8,1,0,0,15,2014,reg
Antonio Dovale,KC ,M,19,14,1033,1,3,29,8,0,0/0,1,0,0.09,3.4,0,2,1,0.26,15,13,0,3,1,27.59,2014,reg
Jorge Villafaña,POR,F,19,17,1577,1,2,4,1,0,0/0,0,1,0.06,25,2,1,1,0.11,23,21,1,1,0,25,2014,reg
Sebastian Velasquez,RSL,M,10,1,222,1,2,4,2,0,0/0,1,0,0.41,25,1,1,1,0.81,5,6,0,0,0,50,2014,reg
Taylor Kemp,DC ,D,13,12,1083,1,2,5,2,0,0/0,0,1,0.08,20,1,2,0,0.17,14,7,0,2,0,40,2014,reg
Darrius Barnes,NE ,D,22,16,1628,1,2,6,2,0,0/0,0,1,0.06,16.7,2,1,1,0.11,29,11,0,4,0,33.33,2014,reg
José Gonçalves,NE ,D,27,27,2381,1,2,10,2,0,0/0,0,1,0.04,10,1,2,0,0.08,33,29,1,3,0,20,2014,reg
Grant Ward,CHI,M,23,12,1051,1,2,15,4,0,0/0,0,1,0.09,6.7,1,1,1,0.17,14,20,2,2,0,26.67,2014,reg
Jonny Steele,NY ,M,15,6,624,1,2,16,5,0,0/0,0,1,0.14,6.3,0,1,1,0.29,9,4,4,1,0,31.25,2014,reg
Leandro Barrera,CHV,M,32,24,2071,1,2,36,16,0,0/0,0,1,0.04,2.8,0,1,1,0.09,18,43,6,3,0,44.44,2014,reg
Kristopher Tyrpak,CHV,F,9,0,156,1,1,1,1,0,0/0,1,0,0.58,100,0,0,1,0.58,1,2,1,1,0,100,2014,reg
Bradley Orr,TOR,D,19,14,1144,1,1,3,2,0,0/0,0,1,0.08,33.3,1,1,0,0.08,9,12,0,1,0,66.67,2014,reg
Mamadou Danso,MTL,D,13,12,1097,1,1,8,1,0,0/0,1,0,0.08,12.5,0,0,1,0.08,13,5,2,1,0,12.5,2014,reg
Matías Pérez García,SJ ,F,6,4,384,1,1,10,3,0,0/0,0,1,0.23,10,0,0,1,0.23,5,16,0,0,0,30,2014,reg
Hassoun Camara,MTL,D,28,26,2365,1,1,11,4,0,0/0,0,1,0.04,9.1,0,1,0,0.04,56,29,1,11,1,36.36,2014,reg
Marlon Hairston,MIN,M,22,9,988,1,1,12,4,0,0/0,1,0,0.09,8.3,0,1,0,0.09,12,21,3,1,0,33.33,2014,reg
Kalif Alhassan,POR,M,15,5,590,1,1,14,4,0,0/0,1,0,0.15,7.1,0,1,0,0.15,6,15,0,1,0,28.57,2014,reg
David Horst,HOU,D,31,31,2653,1,1,15,1,1,0/0,0,1,0.03,6.7,1,1,0,0.03,37,26,0,3,1,6.67,2014,reg
Gershon Koffie,VAN,M,21,17,1541,1,1,20,5,0,0/0,1,0,0.06,5,0,1,0,0.06,36,38,0,4,0,25,2014,reg
Matt Watson,CHI,M,27,22,2034,1,1,25,9,0,0/0,1,0,0.04,4,0,0,1,0.04,26,19,2,4,0,36,2014,reg
Lovel Palmer,CHI,D,30,29,2625,1,1,30,8,0,0/0,1,0,0.03,3.3,0,0,1,0.03,31,14,2,7,0,26.67,2014,reg
Steven Lenhart,SJ ,F,11,10,905,1,1,31,12,0,0/0,0,1,0.1,3.2,0,0,1,0.1,16,42,5,5,0,38.71,2014,reg
Nick LaBrocca,COL,M,31,29,2584,1,1,32,7,1,0/0,1,0,0.03,3.1,0,0,1,0.03,38,28,1,9,0,21.88,2014,reg
Zach Pfeffer,PHI,M,5,1,98,1,0,2,2,0,0/0,0,1,0.92,50,0,0,0,0,4,3,1,0,0,100,2014,reg
Warren Creavalle,PHI,M,26,17,1502,1,0,3,3,0,0/0,1,0,0.06,33.3,0,0,0,0,25,19,0,4,0,100,2014,reg
Jerry Bengtson,HON,F,7,1,238,1,0,4,1,0,0/0,1,0,0.38,25,0,0,0,0,9,6,6,1,0,25,2014,reg
Carlos Salcedo,RSL,D,12,8,800,1,0,4,2,0,0/0,1,0,0.11,25,0,0,0,0,10,5,0,2,0,50,2014,reg
John Neeskens,COL,D,5,3,273,1,0,5,1,0,0/0,0,1,0.33,20,0,0,0,0,5,6,0,0,0,20,2014,reg
Ruben Bover,NY ,M,15,2,243,1,0,5,4,1,0/0,1,0,0.37,20,0,0,0,0,6,4,1,1,0,80,2014,reg
Carlyle Mitchell,VAN,D,8,8,720,1,0,5,2,0,0/0,1,0,0.13,20,0,0,0,0,7,3,0,2,0,40,2014,reg
Zach Loyd,DAL,D,29,28,2414,1,0,5,2,0,0/0,1,0,0.04,20,0,0,0,0,20,25,1,2,1,40,2014,reg
Agustin Viana,CLB,M-D,4,4,300,1,0,5,1,0,0/0,0,1,0.3,20,0,0,0,0,10,8,0,1,0,20,2014,reg
Pa-Modou Kah,POR,D,20,20,1744,1,0,5,1,0,0/0,1,0,0.05,20,0,0,0,0,23,16,1,5,0,20,2014,reg
Jhon Kennedy Hurtado,CHI,D,25,24,2082,1,0,6,3,0,0/0,0,1,0.04,16.7,0,0,0,0,37,17,0,3,1,50,2014,reg
Chris Pontius,DC ,M,6,3,276,1,0,6,4,0,0/0,1,0,0.33,16.7,0,0,0,0,1,6,1,0,0,66.67,2014,reg
Shane O'Neill,SEA,D,21,21,1890,1,0,6,4,0,0/0,1,0,0.05,16.7,0,0,0,0,25,12,0,6,0,66.67,2014,reg
Thomas McNamara,HOU,M,6,6,467,1,0,6,3,0,0/0,1,0,0.19,16.7,0,0,0,0,6,6,0,1,0,50,2014,reg
Leonardo,LA ,D,24,20,1837,1,0,8,1,0,0/0,1,0,0.05,12.5,0,0,0,0,19,7,0,1,0,12.5,2014,reg
Fred,PHI,M,11,3,343,1,0,8,2,1,0/0,1,0,0.26,12.5,0,0,0,0,13,11,0,0,0,25,2014,reg
Bobby Burling,CHV,D,22,20,1807,1,0,8,1,1,0/0,1,0,0.05,12.5,0,0,0,0,29,16,0,7,1,12.5,2014,reg
Florent Sinama-Pongolle,CHI,F,7,4,391,1,0,9,4,1,0/0,1,0,0.23,11.1,0,0,0,0,3,5,0,0,0,44.44,2014,reg
Saer Sene,NE ,M,15,5,485,1,0,9,4,0,0/0,1,0,0.19,11.1,0,0,0,0,3,3,4,1,0,44.44,2014,reg
Giancarlo Gonzalez,LA,D,17,17,1530,1,0,9,1,0,0/0,1,0,0.06,11.1,0,0,0,0,15,11,1,3,0,11.11,2014,reg
Agustín Pelletieri,CHV,M,27,22,1684,1,0,10,4,0,0/0,0,1,0.05,10,0,0,0,0,36,4,1,4,1,40,2014,reg
Nat Borchers,RSL,D,32,32,2856,1,0,12,3,0,0/0,0,1,0.03,8.3,0,0,0,0,19,14,1,3,1,25,2014,reg
Ryan Finley,CHV,F,16,4,437,1,0,13,4,0,1-Jan,1,0,0.21,7.7,0,0,0,0,4,9,2,0,0,30.77,2014,reg
Doneil Henry,TOR,D,21,19,1802,1,0,14,3,1,0/0,1,0,0.05,7.1,0,0,0,0,37,18,1,8,0,21.43,2014,reg
Benji Joya,CHI,M,12,9,651,1,0,16,3,0,0/0,0,1,0.14,6.3,0,0,0,0,16,12,1,2,0,18.75,2014,reg
Jean-Baptiste Pierazzi,SJ ,M,24,23,1982,1,0,17,6,1,0/0,0,1,0.05,5.9,0,0,0,0,24,12,1,3,0,35.29,2014,reg
Dwayne De Rosario,TOR,M,19,4,506,1,0,19,10,0,0/0,0,1,0.18,5.3,0,0,0,0,9,9,3,1,0,52.63,2014,reg
Robbie Findley,RSL,F,16,8,764,1,0,24,9,0,0/0,1,0,0.12,4.2,0,0,0,0,11,21,3,0,0,37.5,2014,reg
Mauro Rosales,CHV,M,32,26,2366,0,11,28,7,0,0/0,0,0,0,0,3,5,6,0.42,32,73,2,5,0,25,2014,reg
Justin Mapp,MTL,M,23,20,1726,0,8,25,8,0,0/0,0,0,0,0,0,4,4,0.42,11,24,6,1,0,32,2014,reg
Waylon Francis,CLB,D,24,24,2111,0,6,11,3,0,0/0,0,0,0,0,1,3,3,0.26,32,12,4,5,1,27.27,2014,reg
Tony Tchani,CLB,M,33,33,2942,0,6,35,8,0,0/0,0,0,0,0,2,2,4,0.18,56,46,0,7,0,22.86,2014,reg
Dan Gargan,LA ,D,29,27,2400,0,5,7,1,0,0/0,0,0,0,0,1,0,5,0.19,37,21,1,7,1,14.29,2014,reg
Brad Evans,SEA,D-M,26,22,1896,0,5,8,2,0,0/0,0,0,0,0,1,1,4,0.24,28,24,1,4,0,25,2014,reg
Kofi Sarkodie,HOU,D,32,32,2872,0,4,5,1,0,0/0,0,0,0,0,2,3,1,0.13,43,34,1,7,1,20,2014,reg
DeAndre Yedlin,USA,D,25,25,2220,0,4,7,2,0,0/0,0,0,0,0,1,2,2,0.16,45,25,0,4,0,28.57,2014,reg
Jair Benítez,DAL,D,26,19,1716,0,4,10,2,0,0/0,0,0,0,0,0,3,1,0.21,16,32,2,1,0,20,2014,reg
Daigo Kobayashi,NE ,M,34,23,1867,0,4,24,6,0,0/0,0,0,0,0,2,2,2,0.19,21,23,0,4,0,25,2014,reg
Juninho,LA ,M,34,31,2758,0,4,55,15,0,0/0,0,0,0,0,1,1,3,0.13,35,29,0,3,0,27.27,2014,reg
Kosuke Kimura,NY ,D,13,10,884,0,3,0,0,0,0/0,0,0,0,0,1,2,1,0.31,12,7,1,0,0,,2014,reg
Steven Beitashour,VAN,D,27,27,2371,0,3,3,0,0,0/0,0,0,0,0,1,2,1,0.11,23,33,1,3,0,0,2014,reg
Chris Korb,DC ,D,19,15,1376,0,3,4,2,0,0/0,0,0,0,0,2,3,0,0.2,15,6,0,3,0,50,2014,reg
Martin Rivero,CHV,M,7,6,577,0,3,4,1,0,0/0,0,0,0,0,0,0,3,0.47,9,12,0,1,0,25,2014,reg
Kevin Ellis,KC ,D,20,16,1538,0,3,6,1,0,0/0,0,0,0,0,2,2,1,0.18,22,14,0,3,0,16.67,2014,reg
Ambroise Oyongo,NY ,D,13,11,1045,0,3,8,5,0,0/0,0,0,0,0,0,1,2,0.26,10,12,2,0,0,62.5,2014,reg
Justin Morrow,TOR,D,31,30,2676,0,3,8,1,0,0/0,0,0,0,0,0,0,3,0.1,29,22,4,6,0,12.5,2014,reg
Chris Wingert,RSL,D,30,30,2537,0,3,8,2,0,0/0,0,0,0,0,1,2,1,0.11,29,15,0,6,0,25,2014,reg
Corey Ashe,HOU,M,21,20,1879,0,3,8,2,0,0/0,0,0,0,0,0,2,1,0.14,11,24,0,2,0,25,2014,reg
Roy Miller,NY ,D,23,22,1943,0,3,10,0,0,0/0,0,0,0,0,0,3,0,0.14,26,9,2,2,0,0,2014,reg
Patrice Bernier,MTL,M,26,20,1802,0,3,11,2,0,0/1,0,0,0,0,0,2,1,0.15,32,20,0,2,0,18.18,2014,reg
Steve Zakuani,POR,M,17,9,739,0,3,19,3,0,0/0,0,0,0,0,0,2,1,0.37,4,14,9,0,0,15.79,2014,reg
Sal Zizzo,KC ,D,19,13,1097,0,3,19,7,0,0/0,0,0,0,0,0,1,2,0.25,8,9,0,0,0,36.84,2014,reg
A.J. DeLaGarza,MIA,D,29,28,2491,0,2,2,2,0,0/0,0,0,0,0,0,2,0,0.07,24,31,0,4,0,100,2014,reg
Michael Harrington,POR,D,25,21,1749,0,2,3,0,0,0/0,0,0,0,0,0,1,1,0.1,22,7,0,1,1,0,2014,reg
David Estrada,DC ,M-F,10,3,306,0,2,4,1,0,0/0,0,0,0,0,0,1,1,0.59,4,8,0,0,0,25,2014,reg
Greg Cochrane,CHI,D,12,12,1063,0,2,4,1,0,0/0,0,0,0,0,0,1,1,0.17,6,3,0,2,0,25,2014,reg
Daniel Lovitz,NSH,D,18,5,631,0,2,5,4,0,0/0,0,0,0,0,1,2,0,0.29,12,16,3,2,0,80,2014,reg
Scott Caldwell,NE,M,26,14,1553,0,2,6,1,0,0/0,0,0,0,0,1,0,2,0.12,29,12,0,6,0,16.67,2014,reg
Jack Jewsbury,POR,M,19,16,1428,0,2,6,2,0,0/0,0,0,0,0,0,2,0,0.13,17,11,2,1,0,33.33,2014,reg
Nigel Reo-Coker,CHV,M,21,17,1467,0,2,7,2,0,0/0,0,0,0,0,0,1,1,0.12,31,18,0,4,1,28.57,2014,reg
Fabinho,PHI,D,19,19,1636,0,2,7,0,0,0/0,0,0,0,0,0,2,0,0.11,30,21,0,6,0,0,2014,reg
Raymon Gaddis,PHI,D,34,34,3051,0,2,8,2,0,0/0,0,0,0,0,0,1,1,0.06,37,26,3,3,0,25,2014,reg
Robbie Rogers,LA ,D,19,15,1372,0,2,13,4,0,0/0,0,0,0,0,0,1,1,0.13,24,14,2,2,0,30.77,2014,reg
Russell Teibert,VAN,M,29,22,1971,0,2,15,1,0,0/0,0,0,0,0,0,0,2,0.09,29,16,0,4,0,6.67,2014,reg
Igor Juliao,KC ,D,23,23,1992,0,2,15,4,0,0/0,0,0,0,0,1,0,2,0.09,25,52,5,4,0,26.67,2014,reg
Collen Warner,COL,M,29,28,2295,0,2,21,1,0,0/0,0,0,0,0,1,0,2,0.08,49,30,2,4,1,4.76,2014,reg
Seth Sinovic,NE,D,31,31,2755,0,2,21,7,0,0/0,0,0,0,0,1,0,2,0.07,51,22,1,6,0,33.33,2014,reg
Osvaldo Alonso,MIN,M,33,33,2952,0,2,33,4,0,0/1,0,0,0,0,1,1,1,0.06,45,58,0,7,0,12.12,2014,reg
Samuel Inkoom,GHA,M,2,1,70,0,1,0,0,0,0/0,0,0,0,0,0,0,1,1.29,1,1,0,0,0,,2014,reg
Akira Kaji,CHV,D,15,14,1270,0,1,0,0,0,0/0,0,0,0,0,1,1,0,0.07,20,6,0,1,0,,2014,reg
Matt Dunn,CHV,M,7,4,407,0,1,0,0,0,0/0,0,0,0,0,0,1,0,0.22,9,6,0,0,0,,2014,reg
Bradford Jamieson IV,LA ,F,2,0,23,0,1,0,0,0,0/0,0,0,0,0,0,0,1,3.91,1,0,0,0,0,,2014,reg
Matt Miazga,USA,D,7,6,500,0,1,1,0,0,0/0,0,0,0,0,0,1,0,0.18,6,1,0,2,1,0,2014,reg
Tony Lochhead,CHV,D,20,19,1697,0,1,1,0,0,0/0,0,0,0,0,1,1,0,0.05,37,9,1,6,0,0,2014,reg
Stephen Keel,DAL,D,16,14,1307,0,1,1,0,0,0/0,0,0,0,0,1,1,0,0.07,13,7,2,2,0,0,2014,reg
Chance Myers,KC ,D,7,7,576,0,1,1,0,0,0/0,0,0,0,0,0,0,1,0.16,3,7,3,1,0,0,2014,reg
Krzysztof Krol,MTL,D,12,11,961,0,1,2,0,0,0/0,0,0,0,0,0,0,1,0.09,24,8,0,4,1,0,2014,reg
Andy O'Brien,VAN,D,26,25,2258,0,1,2,1,0,0/0,0,0,0,0,0,1,0,0.04,25,6,1,3,0,50,2014,reg
Chris Duvall,POR,D,19,18,1604,0,1,2,0,0,0/0,0,0,0,0,0,0,1,0.06,8,19,0,0,0,0,2014,reg
Austin Berry,PHI,D,6,6,497,0,1,2,0,0,0/0,0,0,0,0,0,1,0,0.18,6,3,0,2,0,0,2014,reg
Wandrille Lefevre,MTL,D,15,13,1220,0,1,3,1,0,0/0,0,0,0,0,0,0,1,0.07,20,8,0,3,0,33.33,2014,reg
Adolfo Bautista,CHV,F,7,1,148,0,1,3,0,0,0/0,0,0,0,0,0,0,1,0.61,7,4,0,1,0,0,2014,reg
Lewis Neal,DC ,M,26,7,899,0,1,3,1,0,0/0,0,0,0,0,1,0,1,0.1,8,10,2,4,0,33.33,2014,reg
Marvell Wynne,COL,D,28,27,2404,0,1,3,0,0,0/0,0,0,0,0,1,1,0,0.04,20,9,0,2,1,0,2014,reg
Nathan Sturgis,CHV,M,22,13,1201,0,1,3,0,0,0/0,0,0,0,0,1,0,1,0.07,20,11,1,5,0,0,2014,reg
Hendry Thomas,DAL,M,10,9,770,0,1,4,0,0,0/0,0,0,0,0,0,1,0,0.12,19,9,0,2,1,0,2014,reg
Matt Besler,SKC,D,24,24,2145,0,1,4,0,0,0/0,0,0,0,0,0,0,1,0.04,37,13,0,4,1,0,2014,reg
Michael Lahoud,PHI,M,8,4,437,0,1,4,1,0,0/0,0,0,0,0,1,0,1,0.21,9,4,0,2,1,25,2014,reg
Abdoulie Mansally,RSL,D,11,6,655,0,1,5,2,0,0/0,0,0,0,0,0,0,1,0.14,9,8,0,1,0,40,2014,reg
Chris Klute,COL,D,25,24,2132,0,1,6,2,0,0/0,0,0,0,0,0,1,0,0.04,20,4,1,1,0,33.33,2014,reg
Kellyn Acosta,COL,M,15,9,843,0,1,7,0,0,0/0,0,0,0,0,0,1,0,0.11,13,8,0,2,0,0,2014,reg
Jared Watts,COL,D-M,17,13,1149,0,1,8,2,0,0/0,0,0,0,0,0,0,1,0.08,25,6,1,2,1,25,2014,reg
Andrew Jean-Baptiste,CHV,D,10,8,731,0,1,8,0,0,0/0,0,0,0,0,0,0,1,0.12,10,4,0,2,0,0,2014,reg
Jalil Anibaba,NSH,D,16,14,1283,0,1,8,1,0,0/0,0,0,0,0,0,0,1,0.07,14,6,1,1,0,12.5,2014,reg
Matias Laba,VAN,M,32,31,2738,0,1,8,1,0,0/0,0,0,0,0,0,0,1,0.03,61,39,0,8,1,12.5,2014,reg
Clarence Goodson,SJ ,D,10,10,900,0,1,8,1,0,0/0,0,0,0,0,0,1,0,0.1,10,15,0,2,0,12.5,2014,reg
Cristian Fernández Salas,DC ,D,15,15,1342,0,1,9,3,0,0/0,0,0,0,0,0,0,1,0.07,14,20,2,3,0,33.33,2014,reg
Jordan Stewart,SJ ,D-M,30,29,2593,0,1,9,0,0,0/0,0,0,0,0,0,1,0,0.03,36,26,1,5,0,0,2014,reg
Mark Bloom,TOR,D,26,26,2290,0,1,9,3,0,0/0,0,0,0,0,1,0,1,0.04,21,27,3,2,0,33.33,2014,reg
Devon Sandoval,RSL,F,15,7,633,0,1,9,3,0,0/0,0,0,0,0,0,1,0,0.14,16,10,1,0,0,33.33,2014,reg
Eric Miller,NSH,D,21,18,1646,0,1,10,3,0,0/0,0,0,0,0,1,1,0,0.05,18,9,0,0,0,30,2014,reg
Andy Dorman,NE ,M,16,15,1237,0,1,10,3,0,0/0,0,0,0,0,0,1,0,0.07,21,9,0,6,0,30,2014,reg
Josh Williams,CLB,D,14,13,1123,0,1,11,2,0,0/0,0,0,0,0,1,0,1,0.08,14,2,2,1,0,18.18,2014,reg
Victor Ulloa,MIA,M,28,26,2365,0,1,13,3,0,0/0,0,0,0,0,0,1,0,0.04,16,21,0,4,0,23.08,2014,reg
Jámison Olave,NY ,D,28,28,2519,0,1,13,0,0,0/0,0,0,0,0,1,1,0,0.04,42,29,0,8,0,0,2014,reg
Rob Friend,LA ,F,10,4,376,0,1,14,3,0,0/0,0,0,0,0,0,0,1,0.24,4,16,2,0,0,21.43,2014,reg
Brian Carroll,PHI,M,21,17,1467,0,1,14,2,0,0/0,0,0,0,0,0,1,0,0.06,11,6,1,0,0,14.29,2014,reg
Eric Avila,CHV,M,29,26,2171,0,1,16,5,0,0/0,0,0,0,0,0,1,0,0.04,23,26,0,2,0,31.25,2014,reg
Charles Eloundou,COL,F,11,4,417,0,1,20,10,0,0/0,0,0,0,0,0,0,1,0.22,9,7,6,2,0,50,2014,reg
Alex,CHI,M,28,24,1986,0,1,28,7,0,0/0,0,0,0,0,0,0,1,0.05,33,35,2,3,0,25,2014,reg
Carlos Alvarez,CHV,M,21,13,1262,0,1,29,7,0,0/0,0,0,0,0,0,1,0,0.07,28,9,0,4,0,24.14,2014,reg
Andrew Driver,HOU,M,34,22,1897,0,1,29,7,0,0/0,0,0,0,0,0,0,1,0.05,25,10,7,1,0,24.14,2014,reg
Brian Mullan,COL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,reg
Shalrie Joseph,NE ,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,reg
Andreas Gorlitz,SJ ,D,3,3,224,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,2,0,1,0,,2014,reg
Emanuel Pogatetz,CLB,D,2,0,52,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,1,0,0,0,,2014,reg
Onyekachi Apam,SEA,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,reg
James Riley,LA ,D,4,3,254,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,11,4,0,2,0,,2014,reg
Jason Hernandez,SJ ,D,20,20,1732,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,18,14,0,4,0,,2014,reg
Carlos Borja,CHV,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,reg
Lyle Martin,CHV,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,reg
Nana Attakora,DC ,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,reg
Keon Daniel,PHI,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,reg
Damien Perrinelle,NY ,D,2,0,7,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,reg
Nelson Rivas,MTL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,reg
Eric Brunner,HOU,D,6,3,297,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,4,3,0,1,0,,2014,reg
Adrian Lopez,MTL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,reg
George John,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014,reg
