Date,Open,High,Low,Close,Adj Close,Volume
9/27/2019,87.400002,87.456001,85.691002,86.272499,86.272499,78144000
9/30/2019,86.349503,86.873001,85.460999,86.795502,86.795502,52894000
10/1/2019,87.300003,87.779999,86.420502,86.782501,86.782501,61690000
10/2/2019,86.387001,86.444504,85.25,85.661499,85.661499,66022000
10/3/2019,85.650002,86.25,84.252998,86.221001,86.221001,69364000
10/4/2019,86.301003,87.028999,85.961502,86.982498,86.982498,49438000
10/7/2019,86.581497,87.391502,86.184998,86.633003,86.633003,43094000
10/8/2019,86.124496,86.349998,85.25,85.275497,85.275497,50840000
10/9/2019,85.980499,86.497498,85.718002,86.099503,86.099503,40870000
10/10/2019,86.262001,86.914497,85.6875,86.013,86.013,51504000
10/11/2019,87.146004,87.272499,86.492996,86.596001,86.596001,65100000
10/14/2019,86.445503,87.094498,86.099998,86.821503,86.821503,38204000
10/15/2019,87.107002,88.822502,87.030998,88.369003,88.369003,62234000
10/16/2019,88.666496,89.311996,88.526001,88.871498,88.871498,55268000
10/17/2019,89.824501,89.942497,89.100998,89.374001,89.374001,52948000
10/18/2019,89.389999,89.698997,87.459999,87.875504,87.875504,67250000
10/21/2019,88.483002,89.293999,88.25,89.282997,89.282997,42608000
10/22/2019,89.407501,89.488998,88.099998,88.286499,88.286499,42234000
10/23/2019,88.065002,88.502502,87.099998,88.108498,88.108498,42764000
10/24/2019,88.554497,89.417,88.013496,89.039001,89.039001,88922000
10/25/2019,84.877502,88.210503,84.75,88.066498,88.066498,192528000
10/28/2019,87.403,88.934998,87.125,88.853996,88.853996,74178000
10/29/2019,88.740501,88.849998,87.790497,88.135498,88.135498,45538000
10/30/2019,88.012001,89.119003,87.956001,88.999496,88.999496,48988000
10/31/2019,88.7995,89.599998,88.573997,88.833,88.833,55624000
11/1/2019,89.400497,89.872498,89.260498,89.571999,89.571999,55808000
11/4/2019,90.050499,90.752998,90.050499,90.233002,90.233002,55438000
11/5/2019,90.458,90.512497,89.699997,90.085503,90.085503,37710000
11/6/2019,90.050003,90.125,89.429001,89.788498,89.788498,40596000
